dose,RR
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
2.8,1
2.9,1
3,1
3.1,1
3.2,1
3.3,1
3.4,1
3.5,1
3.6,1
3.7,1
3.8,1
3.9,1
4,1
4.1,1
4.2,1
4.3,1
4.4,1
4.5,1.0089510050696
4.6,1.00915082366075
4.7,1.00935068182514
4.8,1.00955057957063
4.9,1.00975051690503
5,1.00995049383621
5.1,1.01015051037199
5.2,1.01035056652022
5.3,1.01055066228875
5.4,1.01075079768542
5.5,1.01095097271808
5.6,1.01115118739459
5.7,1.01135144172278
5.8,1.01155173571052
5.9,1.01175206936566
6,1.01195244269606
6.1,1.01215285570957
6.2,1.01235330841405
6.3,1.01255380081736
6.4,1.01275433292736
6.5,1.01295490475193
6.6,1.01315551629892
6.7,1.0133561675762
6.8,1.01355685859164
6.9,1.01375758935311
7,1.01395835986847
7.1,1.01415917014562
7.2,1.01436002019241
7.3,1.01456091001672
7.4,1.01476183962644
7.5,1.01496280902944
7.6,1.0151638182336
7.7,1.01536486724681
7.8,1.01556595607694
7.9,1.0157670847319
8,1.01596825321955
8.1,1.01616946154779
8.2,1.01637070972451
8.3,1.01657199775761
8.4,1.01677332565497
8.5,1.01697469342449
8.6,1.01717610107407
8.7,1.01737754861161
8.8,1.017579036045
8.9,1.01778056338215
9,1.01798213063095
9.1,1.01818373779932
9.2,1.01838538489516
9.3,1.01858707192638
9.4,1.01878879890088
9.5,1.01899056582658
9.6,1.01919237271139
9.7,1.01939421956322
9.8,1.01959610638998
9.9,1.01979803319961
10,1.02
11,1.02202186923964
12,1.02404774627852
13,1.02607763906099
14,1.02811155554717
15,1.03014950371293
16,1.03219149154998
17,1.03423752706584
18,1.03628761828394
19,1.03834177324357
20,1.0404
21,1.04246230662443
22,1.04452870120409
23,1.04659919184221
24,1.04867378665811
25,1.05075249378719
26,1.05283532138098
27,1.05492227760716
28,1.05701337064962
29,1.05910860870845
30,1.061208
31,1.06331155275692
32,1.06541927522817
33,1.06753117567906
34,1.06964726239127
35,1.07176754366293
36,1.0738920278086
37,1.0760207231593
38,1.07815363806261
39,1.08029078088261
40,1.08243216
41,1.08457778381206
42,1.08672766073273
43,1.08888179919264
44,1.0910402076391
45,1.09320289453619
46,1.09536986836477
47,1.09754113762249
48,1.09971671082386
49,1.10189659650027
50,1.1040808032
51,1.1062693394883
52,1.10846221394739
53,1.11065943517649
54,1.11286101179188
55,1.11506695242692
56,1.11727726573207
57,1.11949196037494
58,1.12171104504034
59,1.12393452843027
60,1.126162419264
61,1.12839472627807
62,1.13063145822634
63,1.13287262388002
64,1.13511823202772
65,1.13736829147546
66,1.13962281104671
67,1.14188179958244
68,1.14414526594115
69,1.14641321899888
70,1.14868566764928
71,1.15096262080363
72,1.15324408739086
73,1.15553007635762
74,1.15782059666827
75,1.16011565730496
76,1.16241526726764
77,1.16471943557409
78,1.16702817125997
79,1.16934148337886
80,1.17165938100227
81,1.1739818732197
82,1.1746562566815
83,1.1746562566815
84,1.1746562566815
