dose,RR
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
2.8,1
2.9,1
3,1
3.1,1
3.2,1
3.3,1
3.4,1
3.5,1
3.6,1
3.7,1
3.8,1
3.9,1
4,1
4.1,1
4.2,1
4.3,1
4.4,1
4.5,1.0416848636491
4.6,1.04263066722846
4.7,1.04357732955545
4.8,1.04452485140978
4.9,1.04547323357187
5,1.04642247682282
5.1,1.04737258194447
5.2,1.04832354971937
5.3,1.04927538093076
5.4,1.0502280763626
5.5,1.05118163679957
5.6,1.05213606302706
5.7,1.05309135583116
5.8,1.05404751599869
5.9,1.05500454431717
6,1.05596244157485
6.1,1.05692120856069
6.2,1.05788084606435
6.3,1.05884135487624
6.4,1.05980273578746
6.5,1.06076498958983
6.6,1.06172811707591
6.7,1.06269211903896
6.8,1.06365699627297
6.9,1.06462274957264
7,1.06558937973341
7.1,1.06655688755141
7.2,1.06752527382354
7.3,1.06849453934738
7.4,1.06946468492125
7.5,1.07043571134421
7.6,1.07140761941602
7.7,1.07238040993719
7.8,1.07335408370893
7.9,1.0743286415332
8,1.07530408421268
8.1,1.07628041255078
8.2,1.07725762735163
8.3,1.07823572942011
8.4,1.07921471956182
8.5,1.08019459858309
8.6,1.08117536729098
8.7,1.08215702649328
8.8,1.08313957699853
8.9,1.08412301961598
9,1.08510735515565
9.1,1.08609258442825
9.2,1.08707870824527
9.3,1.0880657274189
9.4,1.08905364276209
9.5,1.09004245508853
9.6,1.09103216521263
9.7,1.09202277394956
9.8,1.09301428211521
9.9,1.09400669052623
10,1.095
11,1.10498283354463
12,1.11505667801672
13,1.12522236313952
14,1.13548072620063
15,1.14583261212099
16,1.15627887352446
17,1.16682037080808
18,1.17745797221288
19,1.18819255389543
20,1.199025
21,1.20995620273137
22,1.22098706242831
23,1.23211848763777
24,1.24335139518969
25,1.25468671027248
26,1.26612536650929
27,1.27766830603485
28,1.2893164795731
29,1.3010708465155
30,1.312932375
31,1.32490204199084
32,1.336980833359
33,1.34916974396336
34,1.36146977773271
35,1.37388194774836
36,1.38640727632767
37,1.39904679510816
38,1.41180154513255
39,1.42467257693447
40,1.437660950625
41,1.45076773597998
42,1.4639940125281
43,1.47734086963988
44,1.49080940661731
45,1.50440073278446
46,1.5181159675788
47,1.53195624064343
48,1.54592269192014
49,1.56001647174324
50,1.57423874093437
51,1.58859067089807
52,1.60307344371827
53,1.61768825225567
54,1.63243630024596
55,1.64731880239898
56,1.66233698449878
57,1.67749208350456
58,1.69278534765255
59,1.70821803655885
60,1.72379142132314
61,1.73950678463339
62,1.75536542087151
63,1.77136863621996
64,1.78751774876933
65,1.80381408862689
66,1.82025899802617
67,1.83685383143749
68,1.85359995567955
69,1.87049875003194
70,1.88755160634884
71,1.90475992917356
72,1.9221251358543
73,1.92911546594987
74,1.92911546594987
75,1.92911546594987
76,1.92911546594987
77,1.92911546594987
78,1.92911546594987
79,1.92911546594987
80,1.92911546594987
81,1.92911546594987
82,1.92911546594987
83,1.92911546594987
84,1.92911546594987
