dose,RR
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
2.8,1
2.9,1
3,1
3.1,1
3.2,1
3.3,1
3.4,1
3.5,1
3.6,1
3.7,1
3.8,1
3.9,1
4,1
4.1,1
4.2,1
4.3,1
4.4,1
4.5,1
4.6,1
4.7,1
4.8,1
4.9,1
5,1.08627804912002
5.1,1.08807748488553
5.2,1.08987990144319
5.3,1.09168530373071
5.4,1.09349369669401
5.5,1.09530508528719
5.6,1.09711947447254
5.7,1.0989368692206
5.8,1.10075727451013
5.9,1.10258069532813
6,1.10440713666986
6.1,1.10623660353888
6.2,1.10806910094702
6.3,1.1099046339144
6.4,1.11174320746948
6.5,1.11358482664903
6.6,1.11542949649817
6.7,1.1172772220704
6.8,1.11912800842755
6.9,1.12098186063986
7,1.12283878378598
7.1,1.12469878295293
7.2,1.12656186323621
7.3,1.12842802973972
7.4,1.13029728757584
7.5,1.1321696418654
7.6,1.13404509773772
7.7,1.13592366033063
7.8,1.13780533479045
7.9,1.13969012627203
8,1.14157803993877
8.1,1.14346908096261
8.2,1.14536325452408
8.3,1.14726056581225
8.4,1.14916102002483
8.5,1.15106462236812
8.6,1.15297137805703
8.7,1.15488129231514
8.8,1.15679437037466
8.9,1.15871061747648
9,1.16063003887016
9.1,1.16255263981396
9.2,1.16447842557486
9.3,1.16640740142855
9.4,1.16833957265947
9.5,1.1702749445608
9.6,1.17221352243451
9.7,1.17415531159135
9.8,1.17610031735083
9.9,1.17804854504132
10,1.18
11,1.19969322985597
12,1.21971512352733
13,1.24007116614294
14,1.26076693437397
15,1.28180809796163
16,1.30320042127044
17,1.32494976486745
18,1.34706208712775
19,1.36954344586679
20,1.3924
21,1.41563801123004
22,1.43926384576225
23,1.46328397604867
24,1.48770498256129
25,1.51253355559472
26,1.53752199394825
27,1.53752199394825
28,1.53752199394825
29,1.53752199394825
30,1.53752199394825
31,1.53752199394825
32,1.53752199394825
33,1.53752199394825
34,1.53752199394825
35,1.53752199394825
36,1.53752199394825
37,1.53752199394825
38,1.53752199394825
39,1.53752199394825
40,1.53752199394825
41,1.53752199394825
42,1.53752199394825
43,1.53752199394825
44,1.53752199394825
45,1.53752199394825
46,1.53752199394825
47,1.53752199394825
48,1.53752199394825
49,1.53752199394825
50,1.53752199394825
51,1.53752199394825
52,1.53752199394825
53,1.53752199394825
54,1.53752199394825
55,1.53752199394825
56,1.53752199394825
57,1.53752199394825
58,1.53752199394825
59,1.53752199394825
60,1.53752199394825
61,1.53752199394825
62,1.53752199394825
63,1.53752199394825
64,1.53752199394825
65,1.53752199394825
66,1.53752199394825
67,1.53752199394825
68,1.53752199394825
69,1.53752199394825
70,1.53752199394825
71,1.53752199394825
72,1.53752199394825
73,1.53752199394825
74,1.53752199394825
75,1.53752199394825
76,1.53752199394825
77,1.53752199394825
78,1.53752199394825
79,1.53752199394825
80,1.53752199394825
81,1.53752199394825
82,1.53752199394825
83,1.53752199394825
84,1.53752199394825
