dose,RR
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
2.8,1
2.9,1
3,1
3.1,1
3.2,1
3.3,1
3.4,1
3.5,1
3.6,1
3.7,1
3.8,1
3.9,1
4,1
4.1,1
4.2,1
4.3,1
4.4,1
4.5,1
4.6,1
4.7,1
4.8,1
4.9,1
5,1.06301458127346
5.1,1.06431456677415
5.2,1.06561614205763
5.3,1.0669193090681
5.4,1.06822406975212
5.5,1.06953042605863
5.6,1.07083837993895
5.7,1.07214793334679
5.8,1.07345908823826
5.9,1.07477184657184
6,1.07608621030842
6.1,1.07740218141129
6.2,1.07871976184613
6.3,1.08003895358104
6.4,1.0813597585865
6.5,1.08268217883543
6.6,1.08400621630314
6.7,1.08533187296737
6.8,1.08665915080828
6.9,1.08798805180843
7,1.08931857795284
7.1,1.09065073122891
7.2,1.09198451362652
7.3,1.09331992713796
7.4,1.09465697375794
7.5,1.09599565548364
7.6,1.09733597431467
7.7,1.09867793225308
7.8,1.10002153130337
7.9,1.1013667734725
8,1.10271366076988
8.1,1.10406219520738
8.2,1.10541237879931
8.3,1.10676421356247
8.4,1.10811770151611
8.5,1.10947284468197
8.6,1.11082964508424
8.7,1.11218810474958
8.8,1.11354822570717
8.9,1.11491000998861
9,1.11627345962805
9.1,1.11763857666207
9.2,1.11900536312978
9.3,1.12037382107276
9.4,1.12174395253511
9.5,1.12311575956341
9.6,1.12448924420674
9.7,1.12586440851671
9.8,1.12724125454741
9.9,1.12861978435546
10,1.13
11,1.14389533226516
12,1.15796153201594
13,1.17220070036783
14,1.18661496427319
15,1.20120647683902
16,1.21597741764852
17,1.23092999308671
18,1.24606643666997
19,1.26138900937969
20,1.2769
21,1.29260172545963
22,1.30849653117801
23,1.32458679141564
24,1.3408749096287
25,1.35736331882809
26,1.37405448194282
27,1.39095089218798
28,1.40805507343706
29,1.42536958059905
30,1.442897
31,1.46063994976938
32,1.47860108023115
33,1.49678307429968
34,1.51518864788044
35,1.53382055027574
36,1.55268156459539
37,1.57177450817241
38,1.59110223298388
39,1.61066762607693
40,1.63047361
41,1.6505231432394
42,1.6708192206612
43,1.69136487395864
44,1.71216317210489
45,1.73321722181158
46,1.75453016799279
47,1.77610519423483
48,1.79794552327179
49,1.82005441746693
50,1.8424351793
51,1.86509115186052
52,1.88802571934716
53,1.91124230757326
54,1.93474438447853
55,1.95853546064709
56,1.98261908983185
57,2.00699886948535
58,2.03167844129712
59,2.05666149173763
60,2.081951752609
61,2.10755300160239
62,2.13346906286229
63,2.15970380755778
64,2.18626115446074
65,2.21287460170818
66,2.21287460170818
67,2.21287460170818
68,2.21287460170818
69,2.21287460170818
70,2.21287460170818
71,2.21287460170818
72,2.21287460170818
73,2.21287460170818
74,2.21287460170818
75,2.21287460170818
76,2.21287460170818
77,2.21287460170818
78,2.21287460170818
79,2.21287460170818
80,2.21287460170818
81,2.21287460170818
82,2.21287460170818
83,2.21287460170818
84,2.21287460170818
