dose,RR
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.1,1
1.2,1
1.3,1
1.4,1
1.5,1
1.6,1
1.7,1
1.8,1
1.9,1
2,1
2.1,1
2.2,1
2.3,1
2.4,1
2.5,1
2.6,1
2.7,1
2.8,1
2.9,1
3,1
3.1,1
3.2,1
3.3,1
3.4,1
3.5,1
3.6,1
3.7,1
3.8,1
3.9,1
4,1
4.1,1
4.2,1
4.3,1
4.4,1
4.5,1
4.6,1
4.7,1
4.8,1
4.9,1
5,1.0770329614269
5.1,1.0786326806614
5.2,1.08023477596211
5.3,1.08183925085821
5.4,1.08344610888411
5.5,1.08505535357949
5.6,1.08666698848927
5.7,1.08828101716364
5.8,1.08989744315806
5.9,1.09151627003327
6,1.09313750135532
6.1,1.09476114069552
6.2,1.09638719163052
6.3,1.09801565774226
6.4,1.099646542618
6.5,1.10127984985035
6.6,1.10291558303723
6.7,1.10455374578192
6.8,1.10619434169305
6.9,1.1078373743846
7,1.10948284747592
7.1,1.11113076459176
7.2,1.11278112936221
7.3,1.1144339454228
7.4,1.11608921641442
7.5,1.11774694598339
7.6,1.11940713778145
7.7,1.12106979546573
7.8,1.12273492269883
7.9,1.12440252314878
8,1.12607260048905
8.1,1.12774515839856
8.2,1.12942020056172
8.3,1.13109773066839
8.4,1.13277775241392
8.5,1.13446026949914
8.6,1.13614528563039
8.7,1.13783280451951
8.8,1.13952282988384
8.9,1.14121536544626
9,1.14291041493518
9.1,1.14460798208452
9.2,1.14630807063378
9.3,1.14801068432801
9.4,1.14971582691779
9.5,1.15142350215931
9.6,1.15313371381431
9.7,1.15484646565015
9.8,1.15656176143974
9.9,1.15827960496164
10,1.16
11,1.17734512033152
12,1.19494959686934
13,1.21281730768641
14,1.23095218884328
15,1.2493582352552
16,1.26803950157217
17,1.28700010307207
18,1.3062442165673
19,1.3257760813248
20,1.3456
21,1.36572033958456
22,1.38614153236844
23,1.40686807691624
24,1.4279045390582
25,1.44925555289604
26,1.47092582182371
27,1.4929201195636
28,1.51524329121806
29,1.53790025433677
30,1.560896
31,1.58423559391809
32,1.60792417754739
33,1.63196696922283
34,1.65636926530752
35,1.6811364413594
36,1.70602072691902
37,1.70602072691902
38,1.70602072691902
39,1.70602072691902
40,1.70602072691902
41,1.70602072691902
42,1.70602072691902
43,1.70602072691902
44,1.70602072691902
45,1.70602072691902
46,1.70602072691902
47,1.70602072691902
48,1.70602072691902
49,1.70602072691902
50,1.70602072691902
51,1.70602072691902
52,1.70602072691902
53,1.70602072691902
54,1.70602072691902
55,1.70602072691902
56,1.70602072691902
57,1.70602072691902
58,1.70602072691902
59,1.70602072691902
60,1.70602072691902
61,1.70602072691902
62,1.70602072691902
63,1.70602072691902
64,1.70602072691902
65,1.70602072691902
66,1.70602072691902
67,1.70602072691902
68,1.70602072691902
69,1.70602072691902
70,1.70602072691902
71,1.70602072691902
72,1.70602072691902
73,1.70602072691902
74,1.70602072691902
75,1.70602072691902
76,1.70602072691902
77,1.70602072691902
78,1.70602072691902
79,1.70602072691902
80,1.70602072691902
81,1.70602072691902
82,1.70602072691902
83,1.70602072691902
84,1.70602072691902
